Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial,prob
2,0,2,1.25,1,3,112,768,0.8
0,0,0,2.32083713251,0,0,.,767,0
2,3,3,1.25,2,2,232,766,0.8
0,0,0,2.63779859245,0,0,.,765,0
2,3,1,1.25,3,2,313,764,0.8
0,0,0,2.8718302985,0,0,.,763,0
2,0,3,1.25,2,1,322,762,0.8
0,0,0,2.96369501828,0,0,.,761,0
2,3,3,1.25,1,1,311,760,0.8
0,0,0,2.10485886916,0,0,.,759,0
1,2,2,1.25,0,2,020,758,0.8
0,0,0,2.00563579415,0,0,.,757,0
2,3,2,1.25,1,1,211,756,0.8
0,0,0,2.18352420394,0,0,.,755,0
2,0,1,1.25,2,2,221,754,0.8
0,0,0,2.50610885657,0,0,.,753,0
2,3,2,1.25,3,3,332,752,0.8
0,0,0,2.76382256384,0,0,.,751,0
2,3,1,1.25,3,2,313,750,0.8
0,0,0,2.4214020842,0,0,.,749,0
1,1,2,1.25,0,2,020,748,0.8
0,0,0,2.95183458078,0,0,.,747,0
2,0,1,1.25,2,2,212,746,0.8
0,0,0,2.9172248001,0,0,.,745,0
1,2,2,1.25,0,2,020,744,0.8
0,0,0,2.69027283083,0,0,.,743,0
2,3,2,1.25,1,3,112,742,0.8
0,0,0,2.86933129748,0,0,.,741,0
2,3,3,1.25,2,2,232,740,0.8
0,0,0,2.91081292852,0,0,.,739,0
2,3,3,1.25,2,1,322,738,0.8
0,0,0,2.18835841745,0,0,.,737,0
1,1,1,1.25,0,1,100,736,0.8
0,0,0,2.65215470274,0,0,.,735,0
2,3,1,1.25,3,3,331,734,0.8
0,0,0,2.87560650805,0,0,.,733,0
2,0,2,1.25,1,1,211,732,0.8
0,0,0,2.29242165831,0,0,.,731,0
2,3,1,1.25,2,2,221,730,0.8
0,0,0,2.24524749013,0,0,.,729,0
1,2,1,1.25,0,1,100,728,0.25
0,0,0,2.25785740037,0,0,.,727,0
1,1,3,1.25,0,3,003,726,0.25
0,0,0,2.2025210891,0,0,.,725,0
1,1,2,1.25,0,2,020,724,0.25
0,0,0,2.97663352727,0,0,.,723,0
1,1,1,1.25,0,1,100,722,0.25
0,0,0,2.21876176169,0,0,.,721,0
2,0,2,1.25,3,1,233,720,0.25
0,0,0,2.95090257096,0,0,.,719,0
1,1,3,1.25,0,3,003,718,0.25
0,0,0,2.16901135017,0,0,.,717,0
1,2,3,1.25,0,3,003,716,0.25
0,0,0,2.03514597517,0,0,.,715,0
2,3,2,1.25,3,3,332,714,0.25
0,0,0,2.96046983241,0,0,.,713,0
